wl,n,k
0.193,1.168344,2.036747
0.194,1.191337,2.044814
0.195,1.213306,2.04994
0.196,1.233971,2.052392
0.197,1.253075,2.052453
0.198,1.270393,2.050426
0.199,1.285734,2.046631
0.2,1.298944,2.041404
0.201,1.309912,2.035088
0.202,1.31857,2.028031
0.203,1.324894,2.020579
0.204,1.328902,2.01307
0.205,1.330655,2.005826
0.206,1.330248,1.999153
0.207,1.327814,1.993333
0.208,1.323514,1.988618
0.209,1.317534,1.985236
0.21,1.310079,1.983377
0.211,1.301371,1.983204
0.212,1.291641,1.984842
0.213,1.281125,1.988387
0.214,1.270062,1.993901
0.215,1.258686,2.001417
0.216,1.247225,2.010939
0.217,1.235898,2.022444
0.218,1.224912,2.03589
0.219,1.214456,2.05121
0.22,1.204707,2.068322
0.221,1.195823,2.087132
0.222,1.187943,2.107532
0.223,1.181191,2.129408
0.224,1.175671,2.152642
0.225,1.171474,2.177112
0.226,1.168673,2.202696
0.227,1.167329,2.229274
0.228,1.167489,2.256728
0.229,1.169193,2.284944
0.23,1.172468,2.313812
0.231,1.177337,2.343229
0.232,1.183814,2.373095
0.233,1.191911,2.403313
0.234,1.201635,2.433795
0.235,1.21299,2.464454
0.236,1.225981,2.495208
0.237,1.240609,2.525976
0.238,1.256878,2.55668
0.239,1.274789,2.587244
0.24,1.294347,2.617592
0.241,1.315553,2.647646
0.242,1.338413,2.677329
0.243,1.362931,2.706559
0.244,1.389111,2.735253
0.245,1.416956,2.763322
0.246,1.446469,2.790673
0.247,1.477648,2.817208
0.248,1.510491,2.842818
0.249,1.544987,2.867394
0.25,1.581121,2.890814
0.251,1.61887,2.912952
0.252,1.658197,2.933672
0.253,1.699057,2.952834
0.254,1.741386,2.970292
0.255,1.785106,2.985895
0.256,1.830118,2.999492
0.257,1.876304,3.010933
0.258,1.923519,3.020071
0.259,1.971601,3.026769
0.26,2.020357,3.030902
0.261,2.069578,3.032364
0.262,2.119028,3.03107
0.263,2.168456,3.026963
0.264,2.217594,3.020018
0.265,2.266169,3.010244
0.266,2.313901,2.99769
0.267,2.360516,2.98244
0.268,2.405749,2.964622
0.269,2.449356,2.944396
0.27,2.491115,2.921959
0.271,2.530837,2.897533
