wl,n,k
0.19,1.40227,1.35572
0.191,1.43827,1.4623
0.192,1.53515,1.48379
0.193,1.61962,1.39532
0.194,1.59856,1.22799
0.195,1.43644,1.08437
0.196,1.16952,1.07871
0.197,0.97372,1.26015
0.198,0.93212,1.4586
0.199,0.9489,1.58411
0.2,0.92111,1.67243
0.201,0.86413,1.83793
0.202,0.8869,2.09802
0.203,1.07358,2.37243
0.204,1.39901,2.52634
0.205,1.76374,2.51643
0.206,2.08523,2.34277
0.207,2.27324,2.05953
0.208,2.31508,1.76029
0.209,2.23203,1.51019
0.21,2.08045,1.36603
0.211,1.93931,1.31567
0.212,1.83746,1.31782
0.213,1.77745,1.33624
0.214,1.74142,1.35016
0.215,1.71666,1.36002
0.216,1.69898,1.36648
0.217,1.68538,1.36957
0.218,1.67323,1.37016
0.219,1.6614,1.36966
0.22,1.64959,1.36902
0.221,1.63788,1.36886
0.222,1.6265,1.36933
0.223,1.61545,1.37038
0.224,1.60464,1.37202
0.225,1.59394,1.37429
0.226,1.58321,1.3774
0.227,1.57256,1.38165
0.228,1.56225,1.38718
0.229,1.5526,1.39406
0.23,1.54404,1.40213
0.231,1.53681,1.41108
0.232,1.53111,1.42058
0.233,1.52723,1.43023
0.234,1.52561,1.43919
0.235,1.52586,1.44583
0.236,1.52658,1.44902
0.237,1.52594,1.44819
0.238,1.52154,1.4434
0.239,1.51084,1.43632
0.24,1.49263,1.4293
0.241,1.46599,1.42457
0.242,1.42979,1.42473
0.243,1.38202,1.43438
0.244,1.32453,1.46306
0.245,1.26674,1.51812
0.246,1.22179,1.6013
0.247,1.20397,1.70744
0.248,1.22577,1.82158
0.249,1.28431,1.92192
0.25,1.36713,1.99766
0.251,1.46266,2.04506
0.252,1.56053,2.06371
0.253,1.6502,2.05692
0.254,1.72614,2.03324
0.255,1.78787,1.99862
0.256,1.83538,1.95692
0.257,1.86853,1.91122
0.258,1.8867,1.86461
0.259,1.88974,1.82186
0.26,1.88,1.78772
0.261,1.86119,1.76597
0.262,1.83842,1.75937
0.263,1.81861,1.76907
0.264,1.81052,1.79127
0.265,1.81706,1.81689
0.266,1.83622,1.8393
0.267,1.86446,1.85412
0.268,1.8974,1.85868
0.269,1.9297,1.85197
0.27,1.95576,1.83683
0.271,1.97413,1.81789
0.272,1.98516,1.79829
0.273,1.9898,1.78041
0.274,1.98948,1.76607
0.275,1.98622,1.75649
0.276,1.98242,1.75145
0.277,1.97912,1.74981
0.278,1.97673,1.75082
0.279,1.97548,1.75392
0.28,1.97542,1.75864
0.281,1.97654,1.76466
0.282,1.97869,1.77183
0.283,1.98191,1.78021
0.284,1.9864,1.7898
0.285,1.99238,1.80056
0.286,2.00015,1.81237
0.287,2.01001,1.82506
0.288,2.02237,1.83836
0.289,2.03758,1.85162
0.29,2.05559,1.86417
0.291,2.07616,1.87549
0.292,2.09903,1.88518
0.293,2.12389,1.89293
0.294,2.15043,1.89848
0.295,2.1783,1.90166
0.296,2.20717,1.9024
0.297,2.2368,1.90064
0.298,2.26696,1.89635
0.299,2.29744,1.88947
