wl,n,k
0.145,1.000407324,0
0.1463,1.000404248,0
0.1475,1.000401532,0
0.1488,1.000398713,0
0.15,1.000396218,0
0.1513,1.000393626,0
0.1525,1.000391329,0
0.1538,1.000388938,0
0.155,1.000386816,0
0.1563,1.000384605,0
0.1575,1.00038264,0
0.1588,1.00038059,0
0.16,1.000378766,0
0.1613,1.00037686,0
0.1625,1.000375163,0
0.1638,1.000373388,0
0.165,1.000371805,0
0.1663,1.000370148,0
0.1675,1.000368669,0
0.1688,1.000367119,0
0.17,1.000365734,0
0.1713,1.000364282,0
0.1725,1.000362983,0
0.1738,1.00036162,0
0.175,1.0003604,0
0.1763,1.000359118,0
0.1775,1.00035797,0
0.1788,1.000356764,0
0.18,1.000355682,0
0.1813,1.000354543,0
0.1825,1.000353523,0
0.1838,1.000352448,0
0.185,1.000351483,0
0.1863,1.000350467,0
0.1875,1.000349554,0
0.1888,1.000348591,0
0.19,1.000347727,0
0.1913,1.000346814,0
0.1925,1.000345994,0
0.1938,1.000345128,0
0.195,1.000344349,0
0.1963,1.000343527,0
0.1975,1.000342787,0
0.1988,1.000342004,0
0.2,1.0003413,0
0.2013,1.000340555,0
0.2025,1.000339884,0
0.2038,1.000339175,0
0.205,1.000338535,0
0.2063,1.000337858,0
0.2075,1.000337248,0
0.2088,1.000336602,0
0.21,1.000336019,0
0.2113,1.000335401,0
0.2125,1.000334844,0
0.2138,1.000334254,0
0.215,1.000333721,0
0.2163,1.000333156,0
0.2175,1.000332646,0
0.2188,1.000332105,0
0.22,1.000331616,0
0.2213,1.000331098,0
0.2225,1.000330629,0
0.2238,1.000330132,0
0.225,1.000329683,0
0.2263,1.000329206,0
0.2275,1.000328774,0
0.2288,1.000328316,0
0.23,1.000327901,0
0.2313,1.000327461,0
0.2325,1.000327063,0
0.2338,1.00032664,0
0.235,1.000326256,0
0.2363,1.000325849,0
0.2375,1.00032548,0
0.2388,1.000325088,0
0.24,1.000324733,0
0.2413,1.000324356,0
0.2425,1.000324014,0
0.2438,1.00032365,0
0.245,1.00032332,0
0.2463,1.00032297,0
0.2475,1.000322652,0
0.2488,1.000322313,0
0.25,1.000322007,0
0.2513,1.00032168,0
0.2525,1.000321384,0
0.2538,1.000321069,0
0.255,1.000320783,0
0.2563,1.000320478,0
0.2575,1.000320202,0
0.2588,1.000319907,0
0.26,1.00031964,0
0.2613,1.000319356,0
0.2625,1.000319097,0
0.2638,1.000318822,0
0.265,1.000318572,0
0.2663,1.000318306,0
0.2675,1.000318064,0
0.2688,1.000317806,0
0.27,1.000317572,0
0.4679,1.000285429,0
0.4838,1.000284964,0
0.4997,1.000284543,0
0.5156,1.000284162,0
0.5315,1.000283816,0
0.5474,1.000283501,0
0.5633,1.000283213,0
0.5793,1.000282947,0
0.5952,1.000282705,0
0.6111,1.000282481,0
0.627,1.000282275,0
0.6429,1.000282084,0
0.6588,1.000281908,0
0.6747,1.000281743,0
0.6906,1.000281591,0
0.7065,1.000281448,0
0.7224,1.000281315,0
0.7383,1.000281191,0
0.7542,1.000281075,0
0.7702,1.000280965,0
0.7861,1.000280863,0
0.802,1.000280766,0
0.8179,1.000280676,0
0.8338,1.00028059,0
0.8497,1.00028051,0
0.8656,1.000280434,0
0.8815,1.000280362,0
0.8974,1.000280293,0
0.9133,1.000280229,0
0.9292,1.000280167,0
0.9451,1.000280109,0
0.961,1.000280054,0
0.977,1.000280001,0
0.9929,1.000279951,0
1.009,1.000279903,0
1.025,1.000279857,0
1.041,1.000279813,0
1.056,1.000279774,0
1.072,1.000279734,0
1.088,1.000279696,0
1.104,1.00027966,0
1.12,1.000279625,0
1.136,1.000279592,0
1.152,1.00027956,0
1.168,1.000279529,0
1.184,1.000279499,0
1.2,1.000279471,0
1.216,1.000279444,0
1.231,1.000279419,0
1.247,1.000279394,0
1.263,1.00027937,0
1.279,1.000279347,0
1.295,1.000279324,0
1.311,1.000279303,0
1.327,1.000279282,0
1.343,1.000279262,0
1.359,1.000279242,0
1.375,1.000279224,0
1.391,1.000279206,0
1.406,1.000279189,0
1.422,1.000279172,0
1.438,1.000279156,0
1.454,1.00027914,0
1.47,1.000279125,0
1.486,1.00027911,0
1.502,1.000279096,0
1.518,1.000279082,0
1.534,1.000279068,0
1.55,1.000279055,0
1.566,1.000279043,0
1.581,1.000279031,0
1.597,1.000279019,0
1.613,1.000279008,0
1.629,1.000278997,0
1.645,1.000278986,0
1.661,1.000278975,0
1.677,1.000278965,0
1.693,1.000278955,0
1.709,1.000278945,0
1.725,1.000278936,0
1.741,1.000278927,0
1.756,1.000278918,0
1.772,1.00027891,0
1.788,1.000278901,0
1.804,1.000278893,0
1.82,1.000278885,0
1.836,1.000278877,0
1.852,1.00027887,0
1.868,1.000278862,0
1.884,1.000278855,0
1.9,1.000278848,0
1.916,1.000278841,0
1.931,1.000278835,0
1.947,1.000278828,0
1.963,1.000278822,0
1.979,1.000278816,0
1.995,1.00027881,0
2.011,1.000278804,0
2.027,1.000278798,0
2.043,1.000278792,0
2.059,1.000278787,0
