wl,n,k
0.145,1.000407324,0
0.1463,1.000404248,0
0.1475,1.000401532,0
0.1488,1.000398713,0
0.15,1.000396218,0
0.1513,1.000393626,0
0.1525,1.000391329,0
0.1538,1.000388938,0
0.155,1.000386816,0
0.1563,1.000384605,0
0.1575,1.00038264,0
0.1588,1.00038059,0
0.16,1.000378766,0
0.1613,1.00037686,0
0.1625,1.000375163,0
0.1638,1.000373388,0
0.165,1.000371805,0
0.1663,1.000370148,0
0.1675,1.000368669,0
0.1688,1.000367119,0
0.17,1.000365734,0
0.1713,1.000364282,0
0.1725,1.000362983,0
0.1738,1.00036162,0
0.175,1.0003604,0
0.1763,1.000359118,0
0.1775,1.00035797,0
0.1788,1.000356764,0
0.18,1.000355682,0
0.1813,1.000354543,0
0.1825,1.000353523,0
0.1838,1.000352448,0
0.185,1.000351483,0
0.1863,1.000350467,0
0.1875,1.000349554,0
0.1888,1.000348591,0
0.19,1.000347727,0
0.1913,1.000346814,0
0.1925,1.000345994,0
0.1938,1.000345128,0
0.195,1.000344349,0
0.1963,1.000343527,0
0.1975,1.000342787,0
0.1988,1.000342004,0
0.2,1.0003413,0
0.2013,1.000340555,0
0.2025,1.000339884,0
0.2038,1.000339175,0
0.205,1.000338535,0
0.2063,1.000337858,0
0.2075,1.000337248,0
0.2088,1.000336602,0
0.21,1.000336019,0
0.2113,1.000335401,0
0.2125,1.000334844,0
0.2138,1.000334254,0
0.215,1.000333721,0
0.2163,1.000333156,0
0.2175,1.000332646,0
0.2188,1.000332105,0
0.22,1.000331616,0
0.2213,1.000331098,0
0.2225,1.000330629,0
0.2238,1.000330132,0
0.225,1.000329683,0
0.2263,1.000329206,0
0.2275,1.000328774,0
0.2288,1.000328316,0
0.23,1.000327901,0
0.2313,1.000327461,0
0.2325,1.000327063,0
0.2338,1.00032664,0
0.235,1.000326256,0
0.2363,1.000325849,0
0.2375,1.00032548,0
0.2388,1.000325088,0
0.24,1.000324733,0
0.2413,1.000324356,0
0.2425,1.000324014,0
0.2438,1.00032365,0
0.245,1.00032332,0
0.2463,1.00032297,0
0.2475,1.000322652,0
0.2488,1.000322313,0
0.25,1.000322007,0
0.2513,1.00032168,0
0.2525,1.000321384,0
0.2538,1.000321069,0
0.255,1.000320783,0
0.2563,1.000320478,0
0.2575,1.000320202,0
0.2588,1.000319907,0
0.26,1.00031964,0
0.2613,1.000319356,0
0.2625,1.000319097,0
0.2638,1.000318822,0
0.265,1.000318572,0
0.2663,1.000318306,0
0.2675,1.000318064,0
0.2688,1.000317806,0
0.27,1.000317572,0
