"Wavelength, µm",n,k
0.3,3.020922,2.025123
0.301,3.022323,2.03172
0.302,3.024155,2.038246
0.303,3.026389,2.044689
0.304,3.028995,2.051041
0.305,3.031947,2.057298
0.306,3.035222,2.063452
0.307,3.038796,2.069503
0.308,3.042649,2.075445
0.309,3.046761,2.081279
0.31,3.051115,2.087004
0.311,3.055691,2.092618
0.312,3.060476,2.098125
0.313,3.065452,2.103524
0.314,3.070607,2.108818
0.315,3.075927,2.11401
0.316,3.081399,2.119103
0.317,3.087012,2.124102
0.318,3.092754,2.129013
0.319,3.098616,2.13384
0.32,3.104589,2.13859
0.321,3.110664,2.143272
0.322,3.116834,2.147893
0.323,3.123096,2.152464
0.324,3.129441,2.156991
0.325,3.135862,2.161489
0.326,3.14236,2.165976
0.327,3.148935,2.17047
0.328,3.155595,2.174993
0.329,3.162351,2.179569
0.33,3.169226,2.184223
0.331,3.176249,2.188981
0.332,3.183468,2.193871
0.333,3.190948,2.198913
0.334,3.19878,2.204117
0.335,3.207084,2.209467
0.336,3.216011,2.214897
0.337,3.22573,2.220266
0.338,3.236391,2.225317
0.339,3.248048,2.22966
0.34,3.260552,2.232808
0.341,3.273456,2.234315
0.342,3.286043,2.233996
0.343,3.297543,2.232097
0.344,3.307439,2.229247
0.345,3.315637,2.226193
0.346,3.322395,2.223535
0.347,3.328124,2.221604
0.348,3.333225,2.220498
0.349,3.338004,2.220173
0.35,3.342668,2.220524
0.351,3.347338,2.221434
0.352,3.352082,2.222797
0.353,3.356931,2.224526
0.354,3.361894,2.226556
0.355,3.366971,2.228835
0.356,3.372155,2.231329
0.357,3.377439,2.234011
0.358,3.382813,2.236866
0.359,3.388271,2.239882
0.36,3.393806,2.243053
0.361,3.399414,2.246376
0.362,3.40509,2.24985
0.363,3.410835,2.253478
0.364,3.416648,2.257264
0.365,3.42253,2.26121
0.366,3.428485,2.265324
0.367,3.434516,2.26961
0.368,3.440631,2.274075
0.369,3.446834,2.278725
0.37,3.453136,2.283568
0.371,3.459544,2.28861
0.372,3.46607,2.293858
0.373,3.472726,2.299318
0.374,3.479525,2.304997
0.375,3.486482,2.310901
0.376,3.493611,2.317036
0.377,3.500931,2.323407
0.378,3.508459,2.330017
0.379,3.516215,2.336871
0.38,3.524221,2.343972
0.381,3.532498,2.351321
0.382,3.541072,2.358918
0.383,3.549966,2.366763
0.384,3.559209,2.374854
0.385,3.568827,2.383186
0.386,3.578852,2.391752
0.387,3.589313,2.400546
0.388,3.600244,2.409555
0.389,3.611677,2.418767
0.39,3.623647,2.428165
0.391,3.63619,2.437728
0.392,3.649342,2.447433
0.393,3.66314,2.457253
