wl(um),n,k
0.21,1.53835762,0
0.211,1.537276984,0
0.212,1.536217918,0
0.213,1.535179805,0
0.214,1.534162049,0
0.215,1.533164081,0
0.216,1.532185348,0
0.217,1.53122532,0
0.218,1.530283486,0
0.219,1.529359354,0
0.22,1.528452449,0
0.221,1.527562311,0
0.222,1.5266885,0
0.223,1.525830587,0
0.224,1.524988162,0
0.225,1.524160826,0
0.226,1.523348194,0
0.227,1.522549895,0
0.228,1.521765569,0
0.229,1.520994869,0
0.23,1.520237459,0
0.231,1.519493014,0
0.232,1.518761218,0
0.233,1.518041768,0
0.234,1.517334367,0
0.235,1.51663873,0
0.236,1.515954581,0
0.237,1.51528165,0
0.238,1.514619677,0
0.239,1.513968411,0
0.24,1.513327606,0
0.241,1.512697025,0
0.242,1.512076438,0
0.243,1.511465621,0
0.244,1.510864358,0
0.245,1.510272437,0
0.246,1.509689653,0
0.247,1.509115809,0
0.248,1.508550711,0
0.249,1.507994171,0
0.25,1.507446007,0
0.251,1.506906041,0
0.252,1.506374101,0
0.253,1.50585002,0
0.254,1.505333633,0
0.255,1.504824783,0
0.256,1.504323315,0
0.257,1.503829078,0
0.258,1.503341927,0
0.259,1.502861717,0
0.26,1.502388312,0
0.261,1.501921575,0
0.262,1.501461375,0
0.263,1.501007583,0
0.264,1.500560075,0
0.265,1.500118728,0
0.266,1.499683424,0
0.267,1.499254047,0
0.268,1.498830484,0
0.269,1.498412624,0
0.27,1.498000361,0
0.271,1.49759359,0
0.272,1.497192207,0
0.273,1.496796114,0
0.274,1.496405212,0
0.275,1.496019408,0
0.276,1.495638607,0
0.277,1.495262719,0
0.278,1.494891657,0
0.279,1.494525332,0
0.28,1.494163661,0
0.281,1.493806561,0
0.282,1.493453952,0
0.283,1.493105755,0
0.284,1.492761892,0
0.285,1.492422289,0
0.286,1.492086872,0
0.287,1.491755569,0
0.288,1.491428309,0
0.289,1.491105024,0
0.29,1.490785646,0
0.291,1.49047011,0
0.292,1.490158351,0
0.293,1.489850307,0
0.294,1.489545915,0
0.295,1.489245115,0
0.296,1.488947848,0
0.297,1.488654057,0
0.298,1.488363685,0
0.299,1.488076676,0
0.3,1.487792976,0
0.301,1.487512532,0
0.302,1.487235292,0
0.303,1.486961205,0
0.304,1.486690221,0
0.305,1.486422291,0
0.306,1.486157368,0
0.307,1.485895404,0
0.308,1.485636353,0
0.309,1.485380171,0
0.31,1.485126813,0
0.311,1.484876235,0
0.312,1.484628396,0
0.313,1.484383253,0
0.314,1.484140766,0
0.315,1.483900895,0
0.316,1.483663601,0
0.317,1.483428844,0
0.318,1.483196588,0
0.319,1.482966795,0
0.32,1.482739429,0
0.321,1.482514454,0
0.322,1.482291835,0
0.323,1.482071538,0
0.324,1.481853529,0
0.325,1.481637776,0
0.326,1.481424245,0
0.327,1.481212905,0
0.328,1.481003725,0
0.329,1.480796673,0
0.33,1.48059172,0
0.331,1.480388836,0
0.332,1.480187992,0
0.333,1.47998916,0
0.334,1.479792311,0
0.335,1.479597418,0
0.336,1.479404454,0
0.337,1.479213392,0
0.338,1.479024206,0
0.339,1.478836871,0
0.34,1.478651361,0
0.341,1.478467652,0
0.342,1.478285719,0
0.343,1.478105539,0
0.344,1.477927087,0
0.345,1.47775034,0
0.346,1.477575277,0
0.347,1.477401875,0
0.348,1.477230111,0
0.349,1.477059964,0
0.35,1.476891413,0
0.351,1.476724438,0
0.352,1.476559017,0
0.353,1.47639513,0
0.354,1.476232758,0
0.355,1.47607188,0
0.356,1.475912479,0
0.357,1.475754534,0
0.358,1.475598028,0
0.359,1.475442942,0
0.36,1.475289258,0
0.361,1.475136959,0
0.362,1.474986026,0
0.363,1.474836443,0
0.364,1.474688193,0
0.365,1.47454126,0
0.366,1.474395627,0
0.367,1.474251278,0
0.368,1.474108197,0
0.369,1.473966368,0
0.37,1.473825777,0
0.371,1.473686408,0
0.372,1.473548247,0
0.373,1.473411278,0
0.374,1.473275487,0
0.375,1.473140861,0
0.376,1.473007385,0
0.377,1.472875045,0
0.378,1.472743828,0
0.379,1.47261372,0
0.38,1.472484709,0
0.381,1.472356782,0
0.382,1.472229925,0
0.383,1.472104126,0
0.384,1.471979373,0
0.385,1.471855653,0
0.386,1.471732955,0
0.387,1.471611267,0
0.388,1.471490577,0
0.389,1.471370873,0
0.39,1.471252144,0
0.391,1.47113438,0
0.392,1.471017568,0
0.393,1.470901699,0
0.394,1.470786762,0
0.395,1.470672745,0
0.396,1.470559639,0
0.397,1.470447433,0
0.398,1.470336118,0
0.399,1.470225683,0
0.4,1.470116119,0
0.401,1.470007415,0
0.402,1.469899563,0
0.403,1.469792553,0
0.404,1.469686375,0
0.405,1.469581021,0
0.406,1.469476482,0
0.407,1.469372748,0
0.408,1.469269811,0
0.409,1.469167662,0
0.41,1.469066293,0
0.411,1.468965695,0
0.412,1.46886586,0
0.413,1.46876678,0
0.414,1.468668447,0
0.415,1.468570853,0
0.416,1.468473989,0
0.417,1.468377849,0
0.418,1.468282424,0
0.419,1.468187707,0
0.42,1.46809369,0
0.421,1.468000367,0
0.422,1.467907729,0
0.423,1.46781577,0
0.424,1.467724483,0
0.425,1.467633861,0
0.426,1.467543896,0
0.427,1.467454583,0
0.428,1.467365914,0
0.429,1.467277882,0
0.43,1.467190482,0
0.431,1.467103706,0
0.432,1.467017549,0
0.433,1.466932004,0
0.434,1.466847065,0
0.435,1.466762725,0
0.436,1.466678979,0
0.437,1.466595821,0
0.438,1.466513245,0
0.439,1.466431245,0
0.44,1.466349815,0
0.441,1.466268949,0
0.442,1.466188643,0
0.443,1.46610889,0
0.444,1.466029685,0
0.445,1.465951023,0
0.446,1.465872898,0
0.447,1.465795305,0
0.448,1.465718238,0
0.449,1.465641694,0
0.45,1.465565665,0
0.451,1.465490149,0
0.452,1.465415139,0
0.453,1.465340631,0
0.454,1.465266619,0
0.455,1.4651931,0
0.456,1.465120068,0
0.457,1.465047519,0
0.458,1.464975448,0
0.459,1.46490385,0
0.46,1.464832722,0
0.461,1.464762058,0
0.462,1.464691854,0
0.463,1.464622106,0
0.464,1.46455281,0
