"Wavelength, µm",n,k
0.45,2.183022456,0
0.4575,2.178719937,0
0.465,2.174655784,0
0.4725,2.170812185,0
0.48,2.167173006,0
0.4875,2.163723598,0
0.495,2.160450631,0
0.5025,2.157341955,0
0.51,2.154386473,0
0.5175,2.151574028,0
0.525,2.148895311,0
0.5325,2.146341775,0
0.54,2.14390556,0
0.5475,2.141579423,0
0.555,2.139356687,0
0.5625,2.13723118,0
0.57,2.135197194,0
0.5775,2.133249442,0
0.585,2.13138302,0
0.5925,2.129593374,0
0.6,2.127876271,0
0.6075,2.126227768,0
0.615,2.124644194,0
0.6225,2.123122122,0
0.63,2.121658354,0
0.6375,2.120249898,0
0.645,2.118893956,0
0.6525,2.117587907,0
0.66,2.116329295,0
0.6675,2.115115814,0
0.675,2.113945299,0
0.6825,2.112815714,0
0.69,2.111725147,0
0.6975,2.110671795,0
0.705,2.109653959,0
0.7125,2.10867004,0
0.72,2.107718526,0
0.7275,2.106797991,0
0.735,2.105907088,0
0.7425,2.105044542,0
0.75,2.104209148,0
0.7575,2.103399763,0
0.765,2.102615307,0
0.7725,2.101854754,0
0.78,2.101117131,0
0.7875,2.100401516,0
0.795,2.099707032,0
0.8025,2.099032846,0
0.81,2.098378166,0
0.8175,2.097742239,0
0.825,2.097124348,0
0.8325,2.09652381,0
0.84,2.095939976,0
0.8475,2.095372226,0
0.855,2.094819968,0
0.8625,2.094282638,0
0.87,2.093759699,0
0.8775,2.093250636,0
0.885,2.092754958,0
0.8925,2.092272196,0
0.9,2.091801901,0
0.9075,2.091343644,0
0.915,2.090897014,0
0.9225,2.090461618,0
0.93,2.090037078,0
0.9375,2.089623035,0
0.945,2.089219142,0
0.9525,2.088825068,0
0.96,2.088440493,0
0.9675,2.088065114,0
0.975,2.087698637,0
0.9825,2.087340781,0
0.99,2.086991276,0
0.9975,2.086649861,0
1.005,2.086316288,0
1.013,2.085968849,0
1.02,2.085671715,0
1.028,2.085339747,0
1.035,2.085055744,0
1.043,2.084738337,0
1.05,2.084466697,0
1.058,2.084163006,0
1.065,2.083903019,0
1.073,2.08361226,0
1.08,2.083363263,0
1.088,2.083084708,0
1.095,2.082846088,0
1.103,2.082579059,0
1.11,2.082350244,0
1.118,2.082094111,0
1.125,2.081874567,0
1.133,2.081628742,0
1.14,2.081417973,0
1.148,2.081181907,0
1.155,2.080979449,0
1.163,2.080752629,0
1.17,2.080558048,0
1.178,2.080339996,0
1.185,2.080152887,0
1.193,2.079943153,0
1.2,2.079763138,0
