"Wavelength, µm",n,k
0.198,1.65090228,0
0.2166,1.627297765,0
0.2351,1.610594024,0
0.2537,1.598137569,0
0.2722,1.588650891,0
0.2908,1.581158792,0
0.3093,1.575182424,0
0.3279,1.570278252,0
0.3464,1.566237466,0
0.365,1.562828057,0
0.3835,1.559949834,0
0.4021,1.557468712,0
0.4206,1.555333639,0
0.4392,1.553461069,0
0.4577,1.551824132,0
0.4763,1.550367599,0
0.4948,1.549077261,0
0.5134,1.547914809,0
0.5319,1.54687298,0
0.5505,1.545924111,0
0.569,1.545064887,0
0.5876,1.544274631,0
0.6061,1.543552329,0
0.6247,1.542882058,0
0.6432,1.542264165,0
0.6618,1.541686058,0
0.6803,1.541148903,0
0.6989,1.540642495,0
0.7174,1.540168493,0
0.736,1.539718447,0
0.7545,1.539294309,0
0.7731,1.53888894,0
0.7916,1.538504465,0
0.8102,1.538134737,0
0.8287,1.537781983,0
0.8473,1.53744082,0
0.8658,1.537113528,0
0.8844,1.536795318,0
0.9029,1.536488497,0
0.9215,1.536188741,0
0.94,1.535898371,0
0.9586,1.535613429,0
0.9771,1.53533624,0
0.9957,1.535063136,0
1.014,1.534799303,0
1.033,1.534529913,0
1.051,1.534278474,0
1.07,1.534016574,0
1.088,1.533771374,0
1.107,1.533515231,0
1.126,1.533261462,0
1.144,1.533022918,0
1.163,1.532772783,0
1.181,1.532537119,0
1.2,1.532289476,0
1.218,1.53205569,0
1.237,1.531809558,0
1.255,1.53157679,0
1.274,1.531331325,0
1.293,1.531085911,0
1.311,1.530853298,0
1.33,1.530607478,0
1.348,1.530374189,0
1.367,1.530127368,0
1.385,1.529892873,0
1.404,1.529644524,0
1.422,1.529408355,0
1.441,1.529158014,0
1.459,1.528919756,0
1.478,1.528667009,0
1.497,1.528412882,0
1.515,1.528170772,0
1.534,1.527913694,0
1.552,1.527668637,0
1.571,1.527408295,0
1.589,1.527160006,0
1.608,1.526896114,0
1.626,1.526644335,0
1.645,1.526376633,0
1.664,1.52610688,0
1.682,1.525849378,0
1.701,1.525575462,0
1.719,1.525313915,0
1.738,1.525035624,0
1.756,1.524769839,0
1.775,1.524486979,0
1.793,1.524216777,0
1.812,1.523929165,0
1.83,1.523654379,0
1.849,1.523361844,0
1.868,1.523066718,0
1.886,1.522784697,0
1.905,1.522484407,0
1.923,1.522197423,0
1.942,1.52189182,0
1.96,1.521599734,0
1.979,1.521288677,0
1.997,1.520991358,0
2.016,1.520674709,0
2.035,1.520355137,0
2.053,1.520049658,0
